open,close,high,low,ROCP,OROCP,HROCP,LROCP,norm_macd,norm_signal,norm_hist,macdrocp,singalrocp,histrocp,rsi6,rsi12,rsi24,rsi6rocp,rsi12rocp,rsi24rocp,UO,upperBOLL,middleBOLL,lowerBOLL,MA5,MA10,MA20,MA30,MA60,MA90,MA120,MA180,MA5rocp,MA10rocp,MA20rocp,MA30rocp,MA60rocp,MA90rocp,MA120rocp,MA180rocp,Slow_stochk,Slow_stochd,Fast_stochk,Fast_stochd,Fast_stoch_rsik,Fast_stoch_rsid,AO
1.27583,1.27739,1.25812,1.26108,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.26037,1.26476,1.24555,1.26346,-0.009887348421390428,-0.012117601874857959,-0.009991097828506003,0.0018872712278364962,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.26312,1.27447,1.26158,1.27228,0.007677345899617227,0.002181898966176623,0.01286981654690698,0.006980830418058387,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.27296,1.27868,1.27138,1.27765,0.003303333934890619,0.007790233707011266,0.007768036906101897,0.004220769013110223,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.27832,1.2798,1.27066,1.27142,0.000875903275252612,0.004210658622423178,-0.0005663137692901052,-0.0048761397878918,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.004750929370228981,-0.0037349585872792673,-0.012220846544787516,,,,,,,,,-0.0037349585872792673,,,,,,,,,,,,,,
1.27212,1.28042,1.27108,1.27908,0.00048445069542103677,-0.004850115776957244,0.0003305368863425991,0.006024759717481241,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.005340667208984108,-0.0037440839724466875,-0.012828835153877482,0.0004752866621697404,,,,,,,,-0.0037440839724466875,,,,,,,,,,,,,,
1.27908,1.2802,1.27283,1.27521,-0.00017181862201456316,0.005471181963965724,0.0013767819492084827,-0.003025612158739125,0.0,0.0,0.0,0.0,0.0,0.0,0.04928095405121047,,,,,,,0.002284060278208855,-0.001160756131854648,-0.0046055725419181515,0.002420772232613619,,,,,,,,-0.001160756131854648,,,,,,,,,,5.726950354610328,2.895280074726608,,,
1.27469,1.28664,1.27096,1.28428,0.005030463990001563,-0.0034321543609468477,-0.0014691671315099552,0.007112554010712066,0.0,0.0,0.0,0.0,0.0,0.0,0.1453998565042235,,,0.062040975977708926,,,,0.00010050055409394982,-0.004268482248336966,-0.008637465050767883,0.0019034748974360552,,,,,,,,-0.004268482248336966,,,,,,,,,,10.294326241135439,5.887563579053303,,,
1.28562,1.29316,1.28188,1.2868,0.005067462538083754,0.008574633832539584,0.008591930509221232,0.0019621889307626494,0.0,0.0,0.0,0.0,0.0,0.0,0.21836727537324796,,,0.04434631410753209,,,,0.0010096120340874746,-0.007049398372978089,-0.015108408780043653,0.0022604726386022617,,,,,,,,-0.007049398372978089,,,,,,,,5.8665568257329825,4.8831334931709645,1.5783938814531808,5.8665568257329825,,,
1.28638,1.29162,1.2668,1.28622,-0.0011908812521266485,0.0005911544624384297,-0.011763971666614647,-0.00045073049424932,0.0,0.0,0.0,0.0,0.0,0.0,0.17877846053422852,,,-0.023038622421635967,,,,0.004366503785036844,-0.0040352425636024656,-0.012436988912241775,0.0018410584060982592,,,,,,,,-0.0040352425636024656,-0.00844365989997047,,,,,,,4.610996662552036,5.4550390224461065,1.9602698650674886,4.610996662552036,,,
