datetime,open,close,high,low
1/01/2020 9:00,0.7021,0.7016,0.7021,0.7016
2/01/2020 1:00,0.7024,0.7007,0.7024,0.7006
2/01/2020 5:00,0.7013,0.7017,0.7019,0.7011
2/01/2020 9:00,0.7017,0.7016,0.702,0.7006
2/01/2020 13:00,0.7016,0.7002,0.7019,0.6995
2/01/2020 17:00,0.7002,0.6998,0.7007,0.6995
2/01/2020 21:00,0.6998,0.6997,0.7,0.6983
3/01/2020 1:00,0.6997,0.6984,0.7003,0.6979
3/01/2020 5:00,0.6984,0.6993,0.6993,0.698
3/01/2020 9:00,0.6993,0.6974,0.6995,0.6973
3/01/2020 13:00,0.6974,0.696,0.6977,0.6958
3/01/2020 17:00,0.696,0.6937,0.6964,0.6936
3/01/2020 21:00,0.6937,0.6945,0.6956,0.693
4/01/2020 1:00,0.6945,0.6963,0.6965,0.6944
4/01/2020 5:00,0.6963,0.695,0.6963,0.6945
6/01/2020 5:00,0.6954,0.6942,0.6968,0.6932
6/01/2020 9:00,0.6942,0.694,0.6956,0.6933
6/01/2020 13:00,0.694,0.6937,0.6949,0.6937
6/01/2020 17:00,0.6937,0.6955,0.6956,0.6933
6/01/2020 21:00,0.6955,0.6944,0.6958,0.6942
7/01/2020 1:00,0.6944,0.6935,0.6945,0.6925
7/01/2020 5:00,0.6935,0.694,0.6942,0.6932
7/01/2020 9:00,0.694,0.6932,0.6943,0.6927
7/01/2020 13:00,0.6932,0.6913,0.6939,0.6912
7/01/2020 17:00,0.6913,0.6893,0.692,0.689
7/01/2020 21:00,0.6893,0.6867,0.6894,0.6865
8/01/2020 1:00,0.6867,0.6868,0.6873,0.6859
8/01/2020 5:00,0.6868,0.687,0.6871,0.6862
8/01/2020 9:00,0.687,0.6866,0.6873,0.685
8/01/2020 13:00,0.6866,0.687,0.6884,0.6865
8/01/2020 17:00,0.687,0.6872,0.6885,0.6869
8/01/2020 21:00,0.6872,0.6867,0.6873,0.6858
9/01/2020 1:00,0.6867,0.6876,0.6879,0.6849
9/01/2020 5:00,0.6876,0.6866,0.6877,0.6865
9/01/2020 9:00,0.6866,0.6874,0.6881,0.6863
9/01/2020 13:00,0.6874,0.6875,0.6876,0.6867
9/01/2020 17:00,0.6875,0.6858,0.6878,0.6854
9/01/2020 21:00,0.6858,0.6865,0.6868,0.6855
10/01/2020 1:00,0.6865,0.6852,0.6865,0.685
10/01/2020 5:00,0.6852,0.6858,0.6859,0.6851
10/01/2020 9:00,0.6858,0.6855,0.6871,0.6851
10/01/2020 13:00,0.6855,0.6879,0.688,0.6854
10/01/2020 17:00,0.6879,0.6876,0.6883,0.687
10/01/2020 21:00,0.6876,0.6879,0.6892,0.6873
11/01/2020 1:00,0.6879,0.6906,0.6911,0.6877
11/01/2020 5:00,0.6906,0.6901,0.691,0.6899
13/01/2020 5:00,0.6894,0.6898,0.6901,0.6882
13/01/2020 9:00,0.6898,0.6912,0.6913,0.6894
13/01/2020 13:00,0.6912,0.6917,0.692,0.6909
13/01/2020 17:00,0.6917,0.6905,0.6919,0.6905
13/01/2020 21:00,0.6905,0.6907,0.6908,0.6895
14/01/2020 1:00,0.6907,0.6912,0.6917,0.6895
14/01/2020 5:00,0.6912,0.6904,0.6915,0.6902
14/01/2020 9:00,0.6904,0.689,0.6908,0.6885
14/01/2020 13:00,0.689,0.6896,0.6905,0.6888
14/01/2020 17:00,0.6896,0.6901,0.691,0.6891
14/01/2020 21:00,0.6901,0.6902,0.6906,0.6894
15/01/2020 1:00,0.6902,0.6904,0.6909,0.6897
15/01/2020 5:00,0.6904,0.6902,0.6906,0.6898
15/01/2020 9:00,0.6902,0.6899,0.6905,0.6891
15/01/2020 13:00,0.6899,0.6898,0.6902,0.6893
15/01/2020 17:00,0.6898,0.6887,0.6901,0.6882
15/01/2020 21:00,0.6887,0.6885,0.6898,0.6877
16/01/2020 1:00,0.6885,0.691,0.6917,0.6885
16/01/2020 5:00,0.691,0.6902,0.6911,0.6899
16/01/2020 9:00,0.6902,0.691,0.6919,0.6901
16/01/2020 13:00,0.691,0.6907,0.6911,0.6903
16/01/2020 17:00,0.6907,0.692,0.692,0.6902
16/01/2020 21:00,0.692,0.6923,0.6934,0.6917
17/01/2020 1:00,0.6923,0.6892,0.6926,0.6888
17/01/2020 5:00,0.6892,0.6898,0.6901,0.6888
17/01/2020 9:00,0.6898,0.6895,0.6901,0.6884
17/01/2020 13:00,0.6895,0.6898,0.6905,0.6891
17/01/2020 17:00,0.6898,0.6908,0.6911,0.6895
17/01/2020 21:00,0.6908,0.6888,0.691,0.6887
18/01/2020 1:00,0.6888,0.6878,0.6894,0.6872
18/01/2020 5:00,0.6878,0.6879,0.688,0.6871
20/01/2020 5:00,0.6877,0.6874,0.6883,0.6873
20/01/2020 9:00,0.6874,0.6881,0.6883,0.6873
20/01/2020 13:00,0.6881,0.6886,0.6887,0.688
