,datetime,close,open,high,low
960,2019-06-02T21:00:00.000000000Z,1.11684,1.11664,1.11698,1.11624
961,2019-06-02T22:00:00.000000000Z,1.1172,1.11686,1.1174,1.11686
962,2019-06-02T23:00:00.000000000Z,1.11738,1.11717,1.1174,1.11706
963,2019-06-03T00:00:00.000000000Z,1.11792,1.11736,1.1182,1.11728
964,2019-06-03T01:00:00.000000000Z,1.11847,1.1179,1.11863,1.11756
965,2019-06-03T02:00:00.000000000Z,1.11882,1.11844,1.11883,1.11826
966,2019-06-03T03:00:00.000000000Z,1.11846,1.1188,1.119,1.11839
967,2019-06-03T04:00:00.000000000Z,1.11771,1.11849,1.1186,1.11766
968,2019-06-03T05:00:00.000000000Z,1.11748,1.11768,1.11792,1.11742
969,2019-06-03T06:00:00.000000000Z,1.11638,1.11748,1.11764,1.11603
970,2019-06-03T07:00:00.000000000Z,1.11729,1.11636,1.11743,1.11618
971,2019-06-03T08:00:00.000000000Z,1.11796,1.11732,1.11802,1.11663
972,2019-06-03T09:00:00.000000000Z,1.11732,1.11798,1.11834,1.11696
973,2019-06-03T10:00:00.000000000Z,1.1184,1.11734,1.11848,1.11734
974,2019-06-03T11:00:00.000000000Z,1.11808,1.11842,1.11895,1.11781
975,2019-06-03T12:00:00.000000000Z,1.11952,1.1181,1.12002,1.1181
976,2019-06-03T13:00:00.000000000Z,1.12018,1.1195,1.12053,1.11852
977,2019-06-03T14:00:00.000000000Z,1.12014,1.1202,1.1209,1.11964
978,2019-06-03T15:00:00.000000000Z,1.12046,1.12017,1.12082,1.11993
979,2019-06-03T16:00:00.000000000Z,1.12156,1.12048,1.12178,1.12036
980,2019-06-03T17:00:00.000000000Z,1.12434,1.12154,1.12508,1.12152
981,2019-06-03T18:00:00.000000000Z,1.12589,1.12437,1.12596,1.12388
982,2019-06-03T19:00:00.000000000Z,1.12474,1.12592,1.1262,1.12456
983,2019-06-03T20:00:00.000000000Z,1.12416,1.12471,1.12471,1.12405
984,2019-06-03T21:00:00.000000000Z,1.12442,1.12416,1.12444,1.12413
