datetime,open,high,low,close,volume
2019-01-01T22:00:00.000000000Z,0.89866,0.89992,0.89816,0.89856,1428
2019-01-02T02:00:00.000000000Z,0.89858,0.89984,0.89858,0.8998,1490
2019-01-02T06:00:00.000000000Z,0.8998,0.90136,0.89878,0.90111,6724
2019-01-02T10:00:00.000000000Z,0.90108,0.90315,0.9001,0.90184,5626
2019-01-02T14:00:00.000000000Z,0.90186,0.90238,0.8998,0.90058,8144
2019-01-02T18:00:00.000000000Z,0.90061,0.90061,0.89926,0.89963,2972
2019-01-02T22:00:00.000000000Z,0.90102,0.90748,0.89928,0.90442,7551
2019-01-03T02:00:00.000000000Z,0.90444,0.90602,0.90432,0.90553,2366
2019-01-03T06:00:00.000000000Z,0.90553,0.90642,0.90414,0.90419,6822
2019-01-03T10:00:00.000000000Z,0.90422,0.90479,0.9017,0.90274,5927
2019-01-03T14:00:00.000000000Z,0.90276,0.90598,0.9012,0.90162,8930
2019-01-03T18:00:00.000000000Z,0.9016,0.90281,0.90146,0.90171,2889
2019-01-03T22:00:00.000000000Z,0.90146,0.90298,0.90128,0.90212,1823
2019-01-04T02:00:00.000000000Z,0.90214,0.90258,0.90138,0.9015,1168
2019-01-04T06:00:00.000000000Z,0.9015,0.9025,0.89984,0.89992,4167
2019-01-04T10:00:00.000000000Z,0.8999,0.90096,0.89808,0.89939,4859
2019-01-04T14:00:00.000000000Z,0.89937,0.89984,0.89486,0.89625,9088
2019-01-04T18:00:00.000000000Z,0.89622,0.8965,0.8944,0.89532,3229
2019-01-06T22:00:00.000000000Z,0.89544,0.89649,0.89532,0.8963,2003
2019-01-07T02:00:00.000000000Z,0.89628,0.89654,0.89576,0.89605,1098
2019-01-07T06:00:00.000000000Z,0.89605,0.8988,0.89522,0.89735,4057
2019-01-07T10:00:00.000000000Z,0.89737,0.89866,0.89679,0.89754,3376
2019-01-07T14:00:00.000000000Z,0.89756,0.8991,0.8968,0.89782,5529
2019-01-07T18:00:00.000000000Z,0.8978,0.89914,0.89769,0.89812,2004
2019-01-07T22:00:00.000000000Z,0.89782,0.89816,0.89674,0.89683,1398
2019-01-08T02:00:00.000000000Z,0.8968,0.89686,0.89619,0.8966,1267
2019-01-08T06:00:00.000000000Z,0.8966,0.89746,0.89482,0.89698,4646
2019-01-08T10:00:00.000000000Z,0.89696,0.89846,0.89672,0.8973,4562
2019-01-08T14:00:00.000000000Z,0.89727,0.90063,0.89694,0.90028,5565
2019-01-08T18:00:00.000000000Z,0.90026,0.90054,0.89924,0.89984,1594
2019-01-08T22:00:00.000000000Z,0.8997,0.90004,0.89906,0.89952,1397
2019-01-09T02:00:00.000000000Z,0.8995,0.8996,0.899,0.89945,1089
2019-01-09T06:00:00.000000000Z,0.89945,0.9006,0.89754,0.89866,4150
2019-01-09T10:00:00.000000000Z,0.89862,0.90046,0.89812,0.89992,4423
2019-01-09T14:00:00.000000000Z,0.89994,0.90412,0.8997,0.90272,9747
2019-01-09T18:00:00.000000000Z,0.90274,0.90302,0.90188,0.90249,5095
2019-01-09T22:00:00.000000000Z,0.90228,0.90376,0.90218,0.90367,1874
