dateime,open,close,low,high
2020-06-01 13:00:00,1.11093,1.11293,1.11029,1.114
2020-06-01 17:00:00,1.11293,1.11341,1.1122,1.11361
2020-06-01 21:00:00,1.11341,1.11312,1.11235,1.11378
2020-06-02 01:00:00,1.11312,1.11251,1.11184,1.11326
2020-06-02 05:00:00,1.11251,1.11696,1.11146,1.11708
2020-06-02 09:00:00,1.11696,1.11643,1.11543,1.11873
2020-06-02 13:00:00,1.11643,1.11733,1.11629,1.11956
2020-06-02 17:00:00,1.11733,1.11686,1.11605,1.11807
2020-06-02 21:00:00,1.11686,1.11924,1.1166,1.12007
2020-06-03 01:00:00,1.11924,1.12027,1.11821,1.12107
2020-06-03 05:00:00,1.12027,1.12101,1.11903,1.12271
2020-06-03 09:00:00,1.12101,1.1191,1.11831,1.12263
2020-06-03 13:00:00,1.1191,1.1236,1.11858,1.1251
2020-06-03 17:00:00,1.1236,1.12325,1.12312,1.12573
2020-06-03 21:00:00,1.12325,1.12215,1.1213,1.12371
2020-06-04 01:00:00,1.12215,1.12147,1.12106,1.12241
2020-06-04 05:00:00,1.12147,1.12063,1.1194,1.12206
2020-06-04 09:00:00,1.12063,1.12368,1.11947,1.12716
2020-06-04 13:00:00,1.12368,1.13284,1.12256,1.1362
2020-06-04 17:00:00,1.13284,1.13372,1.13254,1.13614
2020-06-04 21:00:00,1.13372,1.13319,1.13305,1.13439
2020-06-05 01:00:00,1.13319,1.1346,1.13253,1.13546
2020-06-05 05:00:00,1.1346,1.13316,1.13256,1.13832
2020-06-05 09:00:00,1.13316,1.12949,1.12816,1.13429
2020-06-05 13:00:00,1.12949,1.12899,1.12821,1.13233
2020-06-05 17:00:00,1.12899,1.12885,1.12775,1.12989
2020-06-07 17:00:00,1.12885,1.12966,1.12865,1.12977
2020-06-07 21:00:00,1.12924,1.12971,1.12919,1.13192
2020-06-08 01:00:00,1.12971,1.12882,1.12842,1.12989
2020-06-08 05:00:00,1.12882,1.12996,1.12806,1.13152
2020-06-08 09:00:00,1.12996,1.12933,1.12676,1.1306
2020-06-08 13:00:00,1.12933,1.12905,1.12846,1.1318
2020-06-08 17:00:00,1.12905,1.12933,1.12887,1.13081
2020-06-08 21:00:00,1.12933,1.13036,1.12884,1.13144
2020-06-09 01:00:00,1.13036,1.12849,1.12834,1.13037
2020-06-09 05:00:00,1.12849,1.12612,1.12404,1.12958
2020-06-09 09:00:00,1.12612,1.12991,1.12547,1.13018
2020-06-09 13:00:00,1.12991,1.1342,1.12961,1.13631
2020-06-09 17:00:00,1.1342,1.13388,1.13304,1.13477
2020-06-09 21:00:00,1.13388,1.13389,1.13309,1.13441
2020-06-10 01:00:00,1.13389,1.13421,1.13373,1.13454
2020-06-10 05:00:00,1.13421,1.13684,1.13412,1.13751
2020-06-10 09:00:00,1.13684,1.13796,1.13478,1.13888
2020-06-10 13:00:00,1.13796,1.13507,1.13415,1.13849
2020-06-10 17:00:00,1.13507,1.13716,1.13202,1.14219
2020-06-10 21:00:00,1.13716,1.13861,1.13633,1.13883
2020-06-11 01:00:00,1.13861,1.13505,1.13432,1.13947
2020-06-11 05:00:00,1.13505,1.13891,1.13246,1.13903
