dateime,open,close,low,high
2020-06-09 15:00:00,1.13533,1.13468,1.13387,1.13631
2020-06-09 16:00:00,1.13468,1.1342,1.13419,1.13535
2020-06-09 17:00:00,1.1342,1.1345,1.1332,1.13473
2020-06-09 18:00:00,1.1345,1.13441,1.13403,1.13477
2020-06-09 19:00:00,1.13441,1.1336,1.13356,1.13444
2020-06-09 20:00:00,1.1336,1.13388,1.13304,1.13388
2020-06-09 21:00:00,1.13388,1.13344,1.13338,1.13406
2020-06-09 22:00:00,1.13344,1.13383,1.13343,1.13394
2020-06-09 23:00:00,1.13383,1.13315,1.13309,1.13405
2020-06-10 00:00:00,1.13315,1.13389,1.13315,1.13441
2020-06-10 01:00:00,1.13389,1.13375,1.13375,1.13454
2020-06-10 02:00:00,1.13375,1.13427,1.13373,1.13442
2020-06-10 03:00:00,1.13427,1.13419,1.13399,1.13453
2020-06-10 04:00:00,1.13419,1.13421,1.13403,1.13454
2020-06-10 05:00:00,1.13421,1.1362,1.13412,1.13691
2020-06-10 06:00:00,1.1362,1.13507,1.13498,1.13686
2020-06-10 07:00:00,1.13507,1.13592,1.13426,1.13616
2020-06-10 08:00:00,1.13592,1.13684,1.1358,1.13751
2020-06-10 09:00:00,1.13684,1.13585,1.13545,1.13711
2020-06-10 10:00:00,1.13585,1.13647,1.13478,1.13725
2020-06-10 11:00:00,1.13647,1.13852,1.13633,1.13888
2020-06-10 12:00:00,1.13852,1.13796,1.13633,1.13884
2020-06-10 13:00:00,1.13796,1.1365,1.13592,1.13849
2020-06-10 14:00:00,1.1365,1.13495,1.13445,1.13776
2020-06-10 15:00:00,1.13495,1.13535,1.13415,1.13591
2020-06-10 16:00:00,1.13535,1.13507,1.13446,1.13593
2020-06-10 17:00:00,1.13507,1.13674,1.13489,1.13691
2020-06-10 18:00:00,1.13674,1.13904,1.13202,1.14219
2020-06-10 19:00:00,1.13904,1.13887,1.13607,1.1415
2020-06-10 20:00:00,1.13887,1.13716,1.1364,1.139
2020-06-10 21:00:00,1.13716,1.13738,1.13706,1.13742
2020-06-10 22:00:00,1.13738,1.13767,1.1372,1.13804
2020-06-10 23:00:00,1.13767,1.13662,1.13633,1.13817
2020-06-11 00:00:00,1.13662,1.13861,1.13653,1.13883
2020-06-11 01:00:00,1.13861,1.13879,1.13814,1.13947
2020-06-11 02:00:00,1.13879,1.1387,1.13849,1.13936
2020-06-11 03:00:00,1.1387,1.13567,1.13559,1.13884
2020-06-11 04:00:00,1.13567,1.13505,1.13432,1.13583
2020-06-11 05:00:00,1.13505,1.13431,1.13246,1.13519
2020-06-11 06:00:00,1.13431,1.13596,1.13393,1.13619
2020-06-11 07:00:00,1.13596,1.13629,1.13427,1.13724
